"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Afghanistan"," Data source"," All types","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan"," Data source"," Spirits","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania"," Data source"," All types","2.19","1.54","2.22","3.12","2.87","2.77","1.49","1.35","1.28","2.03","1.73","1.67","1.63","1.39","1.60","1.58","1.68","1.51","1.84","1.79"
"Albania"," Data source"," Beer","0.83","0.46","0.48","0.59","1.01","1.27","0.52","0.09","0.18","0.42","0.52","0.56","0.58","0.57","0.51","0.43","0.45","0.45","0.46","0.44"
"Albania"," Data source"," Wine","0.76","0.62","0.98","1.37","1.05","0.68","0.66","0.67","0.61","0.65","0.46","0.37","0.41","0.24","0.23","0.25","0.29","0.20","0.40","0.44"
"Albania"," Data source"," Spirits","0.59","0.42","0.77","1.16","0.81","0.82","0.32","0.60","0.49","0.96","0.75","0.74","0.64","0.57","0.86","0.90","0.94","0.86","0.97","0.91"
"Albania"," Data source"," Other alcoholic beverages","0","0.03","0","0","0","0","0","0","0","0","","","","","","","","","",""
"Algeria"," Data source"," All types","0.23","0.26","0.28","0.29","0.29","0.25","0.24","0.20","0.18","0.19","0.40","0.42","0.28","0.29","0.31","0.33","0.33","0.42","0.46","0.48"
"Algeria"," Data source"," Beer","0.22","0.26","0.27","0.28","0.28","0.24","0.23","0.19","0.17","0.18","0.16","0.17","0.17","0.18","0.19","0.20","0.19","0.27","0.27","0.27"
"Algeria"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0","0.23","0.25","0.10","0.10","0.11","0.12","0.13","0.13","0.17","0.19"
"Algeria"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"Algeria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola"," Data source"," All types","1.97","2.51","2.59","2.07","1.95","2.00","1.79","2.67","2.14","2.12","2.29","1.89","1.63","1.69","2.06","1.94","1.75","1.96","2.46","1.73"
"Angola"," Data source"," Beer","0.77","0.81","0.96","0.77","0.64","0.61","0.55","0.58","0.44","0.64","0.87","0.73","0.91","0.90","0.84","1.02","0.85","1.21","1.48","1.19"
"Angola"," Data source"," Wine","0.39","0.91","0.81","0.49","0.56","0.73","0.69","1.22","0.78","0.65","0.82","0.58","0.24","0.32","0.83","0.57","0.52","0.37","0.49","0.33"
