"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan"," Data source"," All types","0.03","0.03","0.03","0.03","0.02","0.02","0.01","0.01","0","0"
"Afghanistan"," Data source"," Beer","0.01","0.01","0.01","0.01","0.01","0.02","0","0","0","0"
"Afghanistan"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Afghanistan"," Data source"," Spirits","0.02","0.02","0.02","0.02","0.01","0","0.01","0","0","0"
"Afghanistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Albania"," Data source"," All types","6.04","5.82","5.76","5.46","5.30","4.67","4.43","4.01","4.71","3.98"
"Albania"," Data source"," Beer","2.20","2.13","1.94","1.79","1.65","1.37","1.45","1.29","1.49","1.33"
"Albania"," Data source"," Wine","1.28","1.20","1.35","1.28","1.33","1.07","0.77","0.54","1.09","0.57"
"Albania"," Data source"," Spirits","2.44","2.38","2.36","2.28","2.23","2.14","2.21","2.18","2.13","2.08"
"Albania"," Data source"," Other alcoholic beverages","0.12","0.11","0.11","0.11","0.09","0.08","0","0","0","0"
"Algeria"," Data source"," All types","0.48","0.43","0.39","0.43","0.55","0.52","0.39","0.43","0.27","0.32"
"Algeria"," Data source"," Beer","0.20","0.21","0.17","0.18","0.30","0.24","0.19","0.17","0.10","0.12"
"Algeria"," Data source"," Wine","0.25","0.20","0.20","0.23","0.24","0.26","0.17","0.25","0.16","0.20"
"Algeria"," Data source"," Spirits","0.04","0.02","0.03","0.02","0.02","0.02","0.02","0.01","0.01","0"
"Algeria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Andorra"," Data source"," All types","10.80","10.97","11.53","12.03","11.96","10.80","10.97","11.53","12.03","11.96"
"Andorra"," Data source"," Beer","3.59","3.56","3.70","3.78","3.64","3.59","3.56","3.70","3.78","3.64"
"Andorra"," Data source"," Wine","4.49","4.57","4.89","5.27","5.39","4.49","4.57","4.89","5.27","5.39"
"Andorra"," Data source"," Spirits","2.72","2.84","2.94","2.99","2.94","2.72","2.84","2.94","2.99","2.94"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Angola"," Data source"," All types","6.89","6.90","6.22","5.44","4.68","3.39","2.88","2.62","2.45","1.77"
"Angola"," Data source"," Beer","4.42","3.64","3.24","3.04","2.66","1.60","1.46","1.45","1.31","0.99"
"Angola"," Data source"," Wine","1.74","2.62","2.40","2.32","1.94","1.58","1.42","1.17","1.15","0.78"
"Angola"," Data source"," Spirits","0.71","0.61","0.57","0.08","0.08","0.20","0","0","0","0"
"Angola"," Data source"," Other alcoholic beverages","0.03","0.03","0.02","0","0","0","0","0","0","0"
"Antigua and Barbuda"," Data source"," All types","7.90","8.24","8.19","8.34","8.81","7.27","7.11","7.14","7.43","7.46"
"Antigua and Barbuda"," Data source"," Beer","2.93","2.99","2.95","2.64","2.42","1.97","1.86","1.76","1.87","1.91"
"Antigua and Barbuda"," Data source"," Wine","1.42","1.32","1.34","1.79","2.38","1.43","1.25","1.38","1.41","1.41"
