"Country","Year","Total (recorded+unrecorded) alcohol per capita (15+) consumption"
"Afghanistan"," 2016","0.2"
"Albania"," 2016","7.5"
"Algeria"," 2016","0.9"
"Andorra"," 2016","11.3"
"Angola"," 2016","6.4"
"Antigua and Barbuda"," 2016","7.0"
"Argentina"," 2016","9.8"
"Armenia"," 2016","5.5"
"Australia"," 2016","10.6"
"Austria"," 2016","11.6"
"Azerbaijan"," 2016","0.8"
"Bahamas"," 2016","4.4"
"Bahrain"," 2016","1.9"
"Bangladesh"," 2016","0.0"
"Barbados"," 2016","9.6"
"Belarus"," 2016","11.2"
"Belgium"," 2016","12.1"
"Belize"," 2016","6.7"
"Benin"," 2016","3.0"
"Bhutan"," 2016","0.6"
"Bolivia (Plurinational State of)"," 2016","4.8"
"Bosnia and Herzegovina"," 2016","6.4"
"Botswana"," 2016","8.4"
"Brazil"," 2016","7.8"
"Brunei Darussalam"," 2016","0.4"
"Bulgaria"," 2016","12.7"
"Burkina Faso"," 2016","8.2"
"Burundi"," 2016","7.5"
"Cabo Verde"," 2016","5.7"
"Cambodia"," 2016","6.7"
"Cameroon"," 2016","8.9"
"Canada"," 2016","8.9"
"Central African Republic"," 2016","3.3"
"Chad"," 2016","1.5"
"Chile"," 2016","9.3"
"China"," 2016","7.2"
"Colombia"," 2016","5.8"
"Comoros"," 2016","0.9"
"Congo"," 2016","7.8"
"Cook Islands"," 2016","10.6"
"Costa Rica"," 2016","4.8"
"Côte d'Ivoire"," 2016","8.4"
"Croatia"," 2016","8.9"
"Cuba"," 2016","6.1"
"Cyprus"," 2016","10.8"
"Czechia"," 2016","14.4"
"Democratic People's Republic of Korea"," 2016","3.9"
"Democratic Republic of the Congo"," 2016","2.6"
"Denmark"," 2016","10.4"
"Djibouti"," 2016","0.5"
"Dominica"," 2016","8.2"
"Dominican Republic"," 2016","6.9"
"Ecuador"," 2016","4.4"
"Egypt"," 2016","0.4"
"El Salvador"," 2016","3.7"
"Equatorial Guinea"," 2016","11.3"
"Eritrea"," 2016","1.3"
"Estonia"," 2016","11.6"
"Eswatini"," 2016","9.9"
"Ethiopia"," 2016","2.8"
"Fiji"," 2016","3.0"
"Finland"," 2016","10.7"
"France"," 2016","12.6"
"Gabon"," 2016","11.5"
"Gambia"," 2016","3.8"
"Georgia"," 2016","9.8"
"Germany"," 2016","13.4"
"Ghana"," 2016","2.7"
"Greece"," 2016","10.4"
"Grenada"," 2016","9.3"
"Guatemala"," 2016","2.4"
"Guinea"," 2016","1.3"
"Guinea-Bissau"," 2016","4.8"
"Guyana"," 2016","6.3"
"Haiti"," 2016","5.8"
"Honduras"," 2016","4.0"
"Hungary"," 2016","11.4"
"Iceland"," 2016","9.1"
"India"," 2016","5.7"
"Indonesia"," 2016","0.8"
"Iran (Islamic Republic of)"," 2016","1.0"
"Iraq"," 2016","0.4"
"Ireland"," 2016","13.0"
"Israel"," 2016","3.8"
"Italy"," 2016","7.5"
"Jamaica"," 2016","4.2"
"Japan"," 2016","8.0"
"Jordan"," 2016","0.7"
"Kazakhstan"," 2016","7.7"
"Kenya"," 2016","3.4"
"Kiribati"," 2016","0.4"
"Kuwait"," 2016","0.0"
"Kyrgyzstan"," 2016","6.2"
"Lao People's Democratic Republic"," 2016","10.4"
"Latvia"," 2016","12.9"
"Lebanon"," 2016","1.5"
"Lesotho"," 2016","5.0"
"Liberia"," 2016","5.8"
"Libya"," 2016","0.0"
"Lithuania"," 2016","15.0"
"Luxembourg"," 2016","13.0"
"Madagascar"," 2016","1.9"
"Malawi"," 2016","3.7"
"Malaysia"," 2016","0.9"
"Maldives"," 2016","2.7"
"Mali"," 2016","1.3"
"Malta"," 2016","8.1"
"Mauritania"," 2016","0.0"
"Mauritius"," 2016","3.6"
"Mexico"," 2016","6.5"
"Micronesia (Federated States of)"," 2016","2.5"
"Mongolia"," 2016","7.4"
"Montenegro"," 2016","8.0"
"Morocco"," 2016","0.6"
"Mozambique"," 2016","2.4"
"Myanmar"," 2016","4.8"
"Namibia"," 2016","9.8"
"Nauru"," 2016","6.0"
"Nepal"," 2016","2.0"
"Netherlands"," 2016","8.7"
"New Zealand"," 2016","10.7"
"Nicaragua"," 2016","5.2"
"Niger"," 2016","0.5"
"Nigeria"," 2016","13.4"
"Niue"," 2016","7.0"
"Norway"," 2016","7.5"
"Oman"," 2016","0.8"
"Pakistan"," 2016","0.3"
"Panama"," 2016","7.9"
"Papua New Guinea"," 2016","1.2"
"Paraguay"," 2016","7.2"
"Peru"," 2016","6.3"
"Philippines"," 2016","6.6"
"Poland"," 2016","11.6"
"Portugal"," 2016","12.3"
"Qatar"," 2016","2.0"
"Republic of Korea"," 2016","10.2"
"Republic of Moldova"," 2016","15.2"
"Romania"," 2016","12.6"
"Russian Federation"," 2016","11.7"
"Rwanda"," 2016","9.0"
"Saint Kitts and Nevis"," 2016","9.4"
"Saint Lucia"," 2016","9.9"
"Saint Vincent and the Grenadines"," 2016","8.2"
"Samoa"," 2016","2.5"
"Sao Tome and Principe"," 2016","6.8"
"Saudi Arabia"," 2016","0.2"
"Senegal"," 2016","0.7"
"Serbia"," 2016","11.1"
"Seychelles"," 2016","12.0"
"Sierra Leone"," 2016","5.7"
"Singapore"," 2016","2.0"
"Slovakia"," 2016","11.5"
"Slovenia"," 2016","12.6"
"Solomon Islands"," 2016","1.4"
"Somalia"," 2016","0.0"
"South Africa"," 2016","9.3"
"Spain"," 2016","10.0"
"Sri Lanka"," 2016","4.3"
"Sudan"," 2016","0.5"
"Suriname"," 2016","5.1"
"Sweden"," 2016","9.2"
"Switzerland"," 2016","11.5"
"Syrian Arab Republic"," 2016","0.3"
"Tajikistan"," 2016","3.3"
"Thailand"," 2016","8.3"
"Republic of North Macedonia"," 2016","8.1"
"Timor-Leste"," 2016","2.1"
"Togo"," 2016","3.1"
"Tonga"," 2016","1.5"
"Trinidad and Tobago"," 2016","8.4"
"Tunisia"," 2016","1.9"
"Turkey"," 2016","2.0"
"Turkmenistan"," 2016","5.4"
"Tuvalu"," 2016","1.7"
"Uganda"," 2016","9.5"
"Ukraine"," 2016","8.6"
"United Arab Emirates"," 2016","3.8"
"United Kingdom of Great Britain and Northern Ireland"," 2016","11.4"
"United Republic of Tanzania"," 2016","9.4"
"United States of America"," 2016","9.8"
"Uruguay"," 2016","10.8"
"Uzbekistan"," 2016","2.7"
"Vanuatu"," 2016","1.0"
"Venezuela (Bolivarian Republic of)"," 2016","5.6"
"Viet Nam"," 2016","8.3"
"Yemen"," 2016","0.1"
"Zambia"," 2016","4.8"
"Zimbabwe"," 2016","4.8"
