Entity,Code,Year,Per capita alcohol consumption (litres per person per year)
Australia,AUS,1890,5.9
Australia,AUS,1920,3.8
Australia,AUS,1960,7.1
Australia,AUS,1970,9.5
Australia,AUS,1980,9.7
Australia,AUS,1990,8.1
Australia,AUS,2000,8.1
Australia,AUS,2014,7.3
Austria,AUT,1960,8.7
Austria,AUT,1970,10.8
Austria,AUT,1980,11.1
Austria,AUT,1990,11
Austria,AUT,2000,10.3
Austria,AUT,2014,10.4
Belgium,BEL,1890,13.1
Belgium,BEL,1920,10.7
Belgium,BEL,1960,8.9
Belgium,BEL,1970,11.3
Belgium,BEL,1980,11.5
Belgium,BEL,1990,9.9
Belgium,BEL,2000,10
Belgium,BEL,2014,9.6
Canada,CAN,1960,5.1
Canada,CAN,1970,7.5
Canada,CAN,1980,7.6
Canada,CAN,1990,6.1
Canada,CAN,2000,6.5
Canada,CAN,2014,6.7
Denmark,DNK,1920,5
Denmark,DNK,1960,5.6
Denmark,DNK,1970,8.3
Denmark,DNK,1980,9.8
Denmark,DNK,1990,9.9
Denmark,DNK,2000,9.1
Denmark,DNK,2014,8
Finland,FIN,1960,1.9
Finland,FIN,1970,4.3
Finland,FIN,1980,5.1
Finland,FIN,1990,5.9
Finland,FIN,2000,7
Finland,FIN,2014,6.9
France,FRA,1890,16.3
France,FRA,1920,22.1
France,FRA,1960,17.7
France,FRA,1970,15.9
France,FRA,1980,13.3
France,FRA,1990,11.2
France,FRA,2000,10.3
France,FRA,2014,9.2
Germany,DEU,1890,9.8
Germany,DEU,1920,4.4
Germany,DEU,1960,10.3
Germany,DEU,1970,12.9
Germany,DEU,1980,12.7
Germany,DEU,1990,11.3
Germany,DEU,2000,10.2
Germany,DEU,2014,9.6
Italy,ITA,1890,11.8
Italy,ITA,1920,14.5
Italy,ITA,1960,14.3
Italy,ITA,1970,14
Italy,ITA,1980,10.8
Italy,ITA,1990,8.4
Italy,ITA,2000,7.5
Italy,ITA,2014,6.1
Japan,JPN,1960,4.3
Japan,JPN,1970,5.6
Japan,JPN,1980,6.5
Japan,JPN,1990,7.2
Japan,JPN,2000,5.8
Japan,JPN,2014,5.6
Netherlands,NLD,1890,5.7
Netherlands,NLD,1920,2.3
Netherlands,NLD,1960,3.8
Netherlands,NLD,1970,7.5
Netherlands,NLD,1980,8.6
Netherlands,NLD,1990,8.1
Netherlands,NLD,2000,7.9
Netherlands,NLD,2014,7.4
New Zealand,NZL,1890,3.8
New Zealand,NZL,1960,6.7
New Zealand,NZL,1970,8.9
New Zealand,NZL,1980,9.1
New Zealand,NZL,1990,7.6
New Zealand,NZL,2000,6.5
New Zealand,NZL,2014,6.4
Norway,NOR,1960,4
Norway,NOR,1970,5.5
Norway,NOR,1980,5.2
Norway,NOR,1990,5
Norway,NOR,2000,6.2
Norway,NOR,2014,6.3
Sweden,SWE,1960,5.2
Sweden,SWE,1970,6.5
Sweden,SWE,1980,5.9
Sweden,SWE,1990,5.9
Sweden,SWE,2000,5.5
Sweden,SWE,2014,6.1
Switzerland,CHE,1890,13.3
Switzerland,CHE,1920,8.6
Switzerland,CHE,1960,10.3
Switzerland,CHE,1970,11
Switzerland,CHE,1980,11.4
Switzerland,CHE,1990,9.6
Switzerland,CHE,2000,8.7
Switzerland,CHE,2014,8.3
United Kingdom,GBR,1890,8.7
United Kingdom,GBR,1920,4.5
United Kingdom,GBR,1960,5.7
United Kingdom,GBR,1970,7.7
United Kingdom,GBR,1980,8
United Kingdom,GBR,1990,7.5
United Kingdom,GBR,2000,8.8
United Kingdom,GBR,2014,8
United States,USA,1890,5.3
United States,USA,1960,5.8
United States,USA,1970,7.4
United States,USA,1980,7.7
United States,USA,1990,6.5
United States,USA,2000,6.7
United States,USA,2014,7
